HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458598.95533,2019-04-25.4567811,bt,1.55,16.482,>16.482,99.990,0.714,0.185,g
2458599.86193,2019-04-26.3633105,bl,1.41,16.859,>16.859,99.990,0.507,0.131,g
2458599.86315,2019-04-26.3645306,bl,1.46,16.655,16.592,0.207,0.838,0.158,g
2458599.86437,2019-04-26.3657557,bl,1.50,16.703,16.525,0.186,0.891,0.151,g
2458600.85541,2019-04-27.3567089,bl,1.45,16.793,>16.793,99.990,0.527,0.139,g
2458600.85663,2019-04-27.3579277,bl,1.47,16.739,>16.739,99.990,0.494,0.146,g
2458600.85786,2019-04-27.3591503,bl,1.49,16.723,>16.723,99.990,0.727,0.149,g
2458601.85560,2019-04-28.3568199,bl,1.47,16.947,>16.947,99.990,0.570,0.121,g
2458601.85682,2019-04-28.3580373,bl,1.50,16.829,>16.829,99.990,0.604,0.135,g
2458601.85803,2019-04-28.3592521,bl,1.41,17.012,16.611,0.151,0.824,0.114,g
2458604.59662,2019-05-01.0976151,bp,1.52,16.888,>16.888,99.990,0.590,0.128,g
2458604.59784,2019-05-01.0988328,bp,1.48,14.791,>14.791,99.990,1.257,0.881,g
2458604.59906,2019-05-01.1000462,bp,1.69,99.990,99.990,99.990,99.990,99.990,g
2458604.83674,2019-05-01.3377111,bl,1.53,17.346,16.833,0.137,0.671,0.084,g
2458604.83796,2019-05-01.3389256,bl,1.50,17.268,16.898,0.156,0.632,0.090,g
2458604.83918,2019-05-01.3401518,bl,1.54,17.250,16.890,0.157,0.637,0.091,g
2458606.03205,2019-05-02.5329168,bD,1.50,17.486,16.680,0.104,0.772,0.074,g
2458606.03332,2019-05-02.5341916,bD,1.46,17.416,16.502,0.094,0.910,0.078,g
2458606.03459,2019-05-02.5354600,bD,1.47,17.530,16.762,0.108,0.716,0.071,g
2458607.88264,2019-05-04.3833583,bt,1.49,17.174,16.702,0.142,0.757,0.098,g
2458607.88387,2019-05-04.3845884,bt,1.48,17.183,16.707,0.141,0.754,0.097,g
2458607.88509,2019-05-04.3858078,bt,1.48,17.184,16.934,0.174,0.612,0.097,g
2458608.93041,2019-05-05.4310287,bt,1.48,16.942,16.913,0.213,0.623,0.121,g
2458608.93161,2019-05-05.4322423,bt,1.43,17.205,16.772,0.147,0.710,0.095,g
2458608.93283,2019-05-05.4334608,bt,1.49,17.152,16.738,0.150,0.732,0.100,g
2458611.02952,2019-05-07.5299623,bD,1.52,17.506,16.543,0.090,0.877,0.072,g
2458611.03078,2019-05-07.5312336,bD,1.48,17.601,16.734,0.098,0.735,0.066,g
2458611.03207,2019-05-07.5325188,bD,1.51,17.570,16.831,0.111,0.672,0.068,g
2458612.82349,2019-05-09.3237837,bl,1.51,17.207,16.870,0.161,0.648,0.095,g
2458612.82472,2019-05-09.3250159,bl,1.47,17.232,16.737,0.139,0.734,0.093,g
2458612.82594,2019-05-09.3262364,bl,1.49,17.205,16.471,0.111,0.937,0.095,g
2458615.00917,2019-05-11.5092773,bD,1.48,17.564,16.534,0.085,0.883,0.068,g
2458615.01045,2019-05-11.5105534,bD,1.44,17.562,16.782,0.107,0.703,0.069,g
2458615.01172,2019-05-11.5118280,bD,1.42,17.544,16.895,0.120,0.634,0.070,g
2458616.06415,2019-05-12.5641608,bD,1.47,17.665,16.685,0.089,0.769,0.062,g
