mjd filter flux_Jy e_flux_Jy
58672.40341439983 r.ztf 0.0001248991044184204 8.217454775585721e-06
58672.40386570012 r.ztf 0.00012935129253030796 8.440657596928558e-06
58672.40431710007 r.ztf 0.00012986523642235744 9.025887018284725e-06
58672.40476850001 r.ztf 0.0001190376716010409 7.874335187656278e-06
58672.405231500044 r.ztf 0.00013548915250791762 8.665109718431578e-06
58672.4056712999 r.ztf 0.00012077768813877368 7.700103067986392e-06
58672.406122699846 r.ztf 0.00012602915596496864 8.631797621891115e-06
58672.40657409979 r.ztf 0.00011265940271454233 7.806008301848198e-06
58672.4070255002 r.ztf 0.00011141983728784532 8.123876292868448e-06
58672.407476900145 r.ztf 0.00012709845474251423 8.63253165566208e-06
58672.40792819997 r.ztf 0.0001246604591049483 8.64354008806753e-06
58672.40837959992 r.ztf 0.0001292826399544033 8.20257667290735e-06
58672.40883099986 r.ztf 0.00011456024849035125 7.667411166904838e-06
58672.40928239981 r.ztf 0.0001257729679333766 7.975329480939113e-06
58672.40973380022 r.ztf 0.00012159145083006036 8.452680446657278e-06
58672.41018520016 r.ztf 0.00012936421306045275 8.49329169629769e-06
58672.41063660011 r.ztf 0.00012652682761545868 8.531071860171275e-06
58672.41108800005 r.ztf 0.00012588098033066282 8.504307168111125e-06
58672.4115394 r.ztf 0.00012739121243287633 8.138927770265797e-06
58672.411990699824 r.ztf 0.00011933902976097456 8.339288214873828e-06
58672.41244209977 r.ztf 0.00012409901925449464 8.197378945416687e-06
58672.41289350018 r.ztf 0.00012697191814153624 8.681287875245259e-06
58672.413344900124 r.ztf 0.00012535042935306456 7.94067063561653e-06
58672.41379630007 r.ztf 0.00012910354640345274 8.43089360626173e-06
58672.41424770001 r.ztf 0.00011410388757543599 8.407619151460901e-06
58672.41469909996 r.ztf 0.00011742082384975736 7.774550746287536e-06
58672.4151504999 r.ztf 0.00013006322884061996 8.497156127384386e-06
58672.41560189985 r.ztf 0.00012213221574573863 7.773608012933996e-06
58672.41605320014 r.ztf 0.00012295842834933557 8.431405476867668e-06
58672.416504600085 r.ztf 0.00012260607250593128 8.83154373474258e-06
58672.41695600003 r.ztf 0.0001337720575123705 8.791803301470387e-06
58672.417407399975 r.ztf 0.00011027010633452358 7.904067681717562e-06
58672.41785879992 r.ztf 0.00013074264406555118 8.251055293435005e-06
58672.418310199864 r.ztf 0.00012752163179261786 8.70232595753917e-06
58672.41876159981 r.ztf 0.00011730698687555647 8.17805742500998e-06
58672.41921300022 r.ztf 0.00012350286074813764 7.946116603350205e-06
58672.419664400164 r.ztf 0.00012492443646408333 8.02560001653262e-06
58672.42011569999 r.ztf 0.0001330081203872873 8.86021814089238e-06
58674.42800930003 g.ztf 0.00011811476399447745 5.093931369541159e-06
58677.31041669985 r.ztf 0.00012584951835461344 1.0725893490531241e-05
58680.32628470007 r.ztf 0.00012665774034764245 1.4999474458787166e-05
58680.445428200066 g.ztf 0.0001085421810799486 1.3985782365472314e-05
58684.4442245001 r.ztf 0.00012396376761674073 1.3674637396954483e-05
58688.321006900165 g.ztf 0.00010840549903013982 5.875660032008893e-06
58691.33015049994 g.ztf 0.00010652524940105428 4.677245867235231e-06
58691.37439810019 r.ztf 0.00012109541940077178 8.826669123438238e-06
58694.33018520009 g.ztf 9.510473691040388e-05 4.830465778848523e-06
58694.3532292 r.ztf 0.00010283025748197966 7.739847898578185e-06
58697.394791699946 r.ztf 9.996889658533225e-05 7.2242169367606515e-06
58700.41599539993 r.ztf 9.88296178164262e-05 7.537891931176809e-06
58703.40471060015 r.ztf 8.512551816974201e-05 7.048618490496589e-06
58706.392476900015 r.ztf 7.46242330320912e-05 9.185518781620558e-06
58709.44190970017 g.ztf 7.83006723647341e-05 1.2921928998320163e-05
58712.20445600012 g.ztf 7.915129322009549e-05 9.160732811130637e-06
58715.31767359981 r.ztf 7.80897375901608e-05 9.853886101689477e-06
58718.329444400035 r.ztf 7.486483665753616e-05 7.838765049424779e-06
58725.317847200204 g.ztf 5.85282801111176e-05 4.080488058786314e-06
58732.23351849988 r.ztf 7.848951056536469e-05 8.716812286165445e-06
58732.303738399874 g.ztf 5.4074402346494904e-05 4.648324358654433e-06
58736.37283559982 r.ztf 6.644481922084953e-05 1.68283590027001e-05
58744.36431710003 r.ztf 6.280758478693609e-05 1.3790526369120237e-05
58747.27775460016 g.ztf 4.537055804418263e-05 5.4920022169143e-06
58750.208715300076 g.ztf 3.825963815180565e-05 7.813703598482568e-06
58750.27934029978 r.ztf 5.702076265191887e-05 9.466243319284872e-06
58754.207939799875 r.ztf 6.18187821273957e-05 6.8680393377221185e-06
58754.255949100014 g.ztf 4.062627264532646e-05 4.626866500295708e-06
58757.19053239981 g.ztf 4.050687659317095e-05 4.298168316691376e-06
58757.28149309987 r.ztf 6.255832211356262e-05 9.17697868349692e-06
58760.25379629992 r.ztf 4.858262496850919e-05 8.239796741162654e-06
58764.24100690009 g.ztf 4.599981555765784e-05 8.159273228385606e-06
58767.18523149984 r.ztf 6.713858885128733e-05 2.599448707469661e-05
58770.24187499983 r.ztf 3.9654779825241454e-05 1.8106975364053425e-05
58775.206736099906 r.ztf 5.039398911333478e-05 9.015859837471857e-06
58778.10702549992 g.ztf 3.4653860270768814e-05 4.7942576688271245e-06
58781.099687499925 r.ztf 4.6654263527903666e-05 1.0937569836407573e-05
58781.12262730021 g.ztf 2.6147979579700835e-05 7.405134503647487e-06
58785.08805559995 r.ztf 2.6696875199770766e-05 8.807002263444397e-06
58788.09888890013 r.ztf 4.4465679272943424e-05 9.912254652776341e-06
58788.10621530004 g.ztf 3.131386549411874e-05 5.663780846760349e-06
58791.10393519979 r.ztf 3.5686921060800977e-05 1.0561936966402254e-05
58794.15004630014 g.ztf 3.144842722409924e-05 8.429587274932328e-06
58797.08722219989 r.ztf 4.857600820392642e-05 1.260409047960755e-05
58801.0753008998 r.ztf -3.112074059628551e-06 1.8645477690532145e-05
58805.08959490014 g.ztf 2.6078580809003014e-05 7.0722448131688455e-06
58811.11163190007 r.ztf 4.648069285536578e-05 1.813069445097041e-05
58814.130358799826 r.ztf 4.1650298156570555e-05 2.1115149155131426e-05
58829.092395800166 g.ztf 3.8441138459338464e-05 1.7291069904514232e-05
58833.124479200225 g.ztf 1.892738460306784e-05 8.710697110251983e-06
58837.09163190005 r.ztf 4.014792247526934e-05 1.110590270683297e-05
58837.117418999784 g.ztf 2.0166256232474952e-05 8.024356563171348e-06
58846.082939799875 r.ztf 3.185567699661807e-05 1.3521762226972945e-05
58846.08777779993 r.ztf 2.7411755048758002e-05 1.2048306571444e-05
58846.09260419989 r.ztf 2.3766565593735023e-05 1.2310953402978533e-05
58852.07796300016 r.ztf 2.094732150586757e-05 2.01698649675703e-05
58852.08795139985 r.ztf 3.989253227458414e-05 1.539879803029531e-05
58852.09293980012 r.ztf 2.1801253594999658e-05 1.3487467535248892e-05
58854.07856479986 r.ztf 1.9195926777553035e-05 2.4248536977722188e-05
58854.08342589997 r.ztf 4.577884250460126e-05 1.7655224315016787e-05
58854.08828700008 r.ztf 3.219411321473524e-05 1.634867126464392e-05
58854.09314810019 r.ztf 4.078169183675639e-05 1.700117807064901e-05
58941.48609950021 g.ztf 8.367537531911024e-06 8.152845061967186e-06
58964.45402779989 r.ztf 2.9158634884881522e-05 7.59441329906405e-06
58964.47549769981 g.ztf 6.6705788502705595e-06 4.249564047158143e-06
58967.442291699816 g.ztf 1.567663330781972e-05 4.2633490508763676e-06
58970.42248839978 r.ztf 2.9875720449778057e-05 7.3658507579133294e-06
58970.477928199805 g.ztf 2.003574101332697e-05 3.594964279101129e-06
58975.44113430008 r.ztf 2.691949490090287e-05 1.1826300933635661e-05
58986.42417819984 g.ztf 1.773040688998017e-05 3.5723018168786873e-06
58986.46611109981 r.ztf 2.911766405934976e-05 6.212647734306964e-06
58992.45307870023 r.ztf 3.435884491601233e-05 6.82034389531944e-06
58992.46577550005 g.ztf 1.2953983864328539e-05 3.176305769261218e-06
58995.3519791998 g.ztf 2.181675928097566e-05 4.327789480382523e-06
58995.45902779978 r.ztf 3.87507834928256e-05 5.886860047633708e-06
58996.48349539982 r.ztf 2.154128266123969e-05 6.8935743401626846e-06
58997.48199070012 r.ztf 3.703353560946232e-05 7.537398114594547e-06
58998.4241204001 g.ztf 1.521443624064043e-05 2.992149273534243e-06
58998.46464119991 r.ztf 2.6734536512558313e-05 5.350336995640934e-06
59001.40130789997 g.ztf 1.7140496994506654e-05 6.06761101309872e-06
59001.450648100115 r.ztf 3.709473847461253e-05 6.990734928159127e-06
59010.46379629988 g.ztf 2.410451987727891e-05 7.094605102235744e-06
59013.37437500013 r.ztf 2.893840680667072e-05 7.294292706208361e-06
59013.3898494998 g.ztf 9.780232120226394e-06 4.7498495058716724e-06
59016.46050930023 r.ztf 3.15359457014981e-05 5.6484628816916445e-06
59019.33793980023 g.ztf 1.6588573553091666e-05 3.301654635694414e-06
59019.38928239979 r.ztf 2.5483993307134454e-05 5.079388406091104e-06
59020.48032409977 r.ztf 2.2452432984374345e-05 7.907389944301757e-06
59022.356527800206 g.ztf 1.2294632531259683e-05 3.684709976384632e-06
59022.46086810017 r.ztf 3.329032276132218e-05 5.605297798834421e-06
59025.37716440018 r.ztf 3.430983955912769e-05 6.489182567011528e-06
59028.460833299905 r.ztf 3.351628042716081e-05 8.664808361300012e-06
59031.335763900075 g.ztf 2.027654812963662e-05 6.333041165817407e-06
59034.247824099846 g.ztf 3.52244328085757e-05 1.7291086901683214e-05
59034.37677079998 r.ztf 2.8972302812561928e-05 1.1496553925141934e-05
59040.26417820016 g.ztf 1.2265495291897248e-05 4.460320024476935e-06
59040.35831019981 r.ztf 2.3651619469313252e-05 8.501920188862837e-06
59043.337789400015 g.ztf 1.281062420120657e-05 3.530741409641803e-06
59043.378923600074 r.ztf 2.6807315504163972e-05 5.827548641693369e-06
59046.35704859998 g.ztf 1.4040349385362013e-05 3.2849004278053365e-06
59046.378645800054 r.ztf 2.7858384823244824e-05 5.569926539155145e-06
59046.43659720011 r.ztf 3.276572794864438e-05 6.181003806784278e-06
59048.34438659996 r.ztf 1.7683717262191342e-05 5.733964917194427e-06
59049.33270830009 g.ztf 2.149248421808052e-05 3.333524615735964e-06
59051.36577549996 r.ztf 4.047325683841874e-05 6.416581089303571e-06
59052.357731500175 r.ztf 2.9412374228998558e-05 4.9272603475635485e-06
59054.3620023001 r.ztf 4.19036184478925e-05 5.7754792818596865e-06
59055.337245400064 r.ztf 2.3585146140978664e-05 5.265670984880983e-06
59055.372777800076 r.ztf 3.130599517466644e-05 5.470505127110605e-06
59055.379745400045 g.ztf 1.7238901574830485e-05 3.332362140548224e-06
59056.36822920013 r.ztf 2.2611289377969775e-05 6.400778462404241e-06
59057.349351900164 r.ztf 3.420016383564141e-05 5.929690955504041e-06
59059.32539349981 r.ztf 2.5936435848415797e-05 7.747376552639608e-06
59059.37494210014 r.ztf 2.7727928790593515e-05 7.406216375386622e-06
59060.3277083002 g.ztf 1.6138031236385918e-05 5.807715660190446e-06
