HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458218.96563,2018-04-10.4604511,ba,1.68,16.651,15.302,0.063,2.904,0.168,V
2458218.96690,2018-04-10.4617273,ba,1.68,16.658,15.432,0.071,2.576,0.167,V
2458218.96829,2018-04-10.4631165,ba,1.62,16.628,15.427,0.072,2.590,0.172,V
2458219.68111,2018-04-11.1759565,bq,1.69,17.396,15.633,0.043,2.027,0.080,g
2458219.68232,2018-04-11.1771699,bq,1.75,17.367,15.706,0.047,1.895,0.082,g
2458219.68353,2018-04-11.1783796,bq,1.73,17.432,15.685,0.044,1.932,0.078,g
2458221.87911,2018-04-13.3740109,ba,1.65,16.952,15.402,0.052,2.649,0.128,V
2458221.88038,2018-04-13.3752892,ba,1.64,17.102,15.448,0.048,2.538,0.111,V
2458221.88166,2018-04-13.3765741,ba,1.68,16.995,15.551,0.058,2.310,0.122,V
2458223.72788,2018-04-15.2228406,bi,1.41,17.359,15.682,0.047,1.936,0.083,g
2458223.72909,2018-04-15.2240556,bi,1.40,17.338,15.634,0.045,2.025,0.085,g
2458223.73032,2018-04-15.2252776,bi,1.40,17.308,15.701,0.050,1.904,0.087,g
2458225.75328,2018-04-17.2483091,bi,1.44,17.306,15.780,0.054,1.770,0.087,g
2458225.75449,2018-04-17.2495239,bi,1.42,17.296,15.652,0.048,1.992,0.088,g
2458225.75571,2018-04-17.2507414,bi,1.43,17.276,15.683,0.050,1.935,0.089,g
2458226.93289,2018-04-18.4279614,ba,2.00,99.990,99.990,99.990,99.990,99.990,V
2458226.93416,2018-04-18.4292289,ba,1.70,99.990,99.990,99.990,99.990,99.990,V
2458228.70563,2018-04-20.2007628,bi,1.43,17.277,15.748,0.053,1.823,0.089,g
2458228.70684,2018-04-20.2019802,bi,1.41,17.294,15.714,0.051,1.882,0.088,g
2458228.70806,2018-04-20.2031988,bi,1.40,17.292,15.737,0.052,1.842,0.088,g
2458229.57378,2018-04-21.0689486,bi,1.44,17.181,15.772,0.060,1.784,0.098,g
2458229.57499,2018-04-21.0701638,bi,1.42,17.267,15.754,0.054,1.812,0.090,g
2458229.93044,2018-04-21.4256221,ba,1.64,16.324,15.444,0.097,2.549,0.227,V
2458229.93172,2018-04-21.4269046,ba,1.64,16.122,15.698,0.148,2.017,0.273,V
2458229.93299,2018-04-21.4281783,ba,1.62,16.081,15.409,0.118,2.634,0.284,V
2458230.66882,2018-04-22.1640436,bi,1.39,17.339,15.698,0.048,1.910,0.084,g
2458230.67006,2018-04-22.1652721,bi,1.37,17.344,15.696,0.048,1.913,0.084,g
2458230.67128,2018-04-22.1664943,bi,1.38,17.297,15.739,0.052,1.838,0.088,g
2458231.30779,2018-04-22.8030363,bm,1.56,16.972,15.676,0.066,1.948,0.118,g
