# MJD Lν eLν filter
5.779345433999999659e+04 3.927092771397238052e+43 1.151222436364478900e+43 1.928000000000000269e-01
5.779454771099999925e+04 5.224817927515267600e+43 1.077827057562804993e+43 1.928000000000000269e-01
5.779819554100000096e+04 4.809181423869703667e+43 9.398704296862059818e+42 1.928000000000000269e-01
5.788155664100000286e+04 2.897818368123427534e+43 7.551039161003341236e+42 1.928000000000000269e-01
5.832459407400000055e+04 9.334072308370242950e+42 5.877917340956157420e+42 1.928000000000000269e-01
5.915466130700000213e+04 9.773973583665912173e+42 9.550761285722076345e+42 1.928000000000000269e-01
5.916061730800000078e+04 6.517351747703578745e+42 6.368512276462900636e+42 1.928000000000000269e-01
5.719710052100000030e+04 2.954789925500136230e+45 1.283248959828098536e+44 2.246000000000000496e-01
5.719979484100000263e+04 2.719735121547179069e+45 1.181165955526472184e+44 2.246000000000000496e-01
5.720182276000000275e+04 2.390708411655568376e+45 1.297839338777302805e+44 2.246000000000000496e-01
5.720564220300000306e+04 2.180351985169356277e+45 9.469148357659271283e+43 2.246000000000000496e-01
5.720866732100000081e+04 1.847253974311116120e+45 8.022522077173290937e+43 2.246000000000000496e-01
5.721166251200000261e+04 1.579525383677555606e+45 6.859791581573345759e+43 2.246000000000000496e-01
5.721467711799999961e+04 1.467325988502067591e+45 7.965644749497018668e+43 2.246000000000000496e-01
5.721471575000000303e+04 1.301747072318897467e+45 8.480123555129953394e+43 2.246000000000000496e-01
5.722169195900000341e+04 9.173321394115292641e+44 4.979903577737548264e+43 2.246000000000000496e-01
5.722351949400000012e+04 7.916379574893111743e+44 4.297549957535487641e+43 2.246000000000000496e-01
5.722652256399999897e+04 6.524190140578773939e+44 3.541774721177536587e+43 2.246000000000000496e-01
5.722927068899999722e+04 5.950132126225223040e+44 3.230136936270648445e+43 2.246000000000000496e-01
5.723289953999999852e+04 4.597551572688285683e+44 2.995036917428199940e+43 2.246000000000000496e-01
5.724113162200000079e+04 3.361449643125326157e+44 1.824823789006230200e+43 2.246000000000000496e-01
5.724489084300000104e+04 3.037572200954214478e+44 2.308601479199979265e+43 2.246000000000000496e-01
5.724847717600000033e+04 2.694800440075938247e+44 1.755505441433151446e+43 2.246000000000000496e-01
5.725071050100000139e+04 2.795932031537636951e+44 3.035644632683359902e+43 2.246000000000000496e-01
5.725363407500000176e+04 2.954789925500295795e+44 4.170559119441321233e+43 2.246000000000000496e-01
5.725566468500000337e+04 2.304234154175884372e+44 2.251611400886084683e+43 2.246000000000000496e-01
5.725940843699999823e+04 2.120931340430251941e+44 2.072494749700182527e+43 2.246000000000000496e-01
5.726273216200000024e+04 2.006904051020463820e+44 1.525277871368071791e+43 2.246000000000000496e-01
5.726878928399999859e+04 2.160362398016324761e+44 2.111025303831974308e+43 2.246000000000000496e-01
5.727257010900000023e+04 2.621359646716809517e+44 2.846105074132419839e+43 2.246000000000000496e-01
5.727288133499999822e+04 2.526542508862328244e+44 2.468842807259040648e+43 2.246000000000000496e-01
5.727732948999999644e+04 3.269840808216227159e+44 2.485129184493158825e+43 2.246000000000000496e-01
5.728287421100000211e+04 3.519869884152033291e+44 2.675155118483165625e+43 2.246000000000000496e-01
5.728340501799999765e+04 4.270970872517559058e+44 3.246003394031811791e+43 2.246000000000000496e-01
5.728437616400000115e+04 4.472255528506917967e+44 2.427844872114832042e+43 2.246000000000000496e-01
5.728477536200000031e+04 4.231814376196920057e+44 3.216243856037054761e+43 2.246000000000000496e-01
5.729086654999999882e+04 4.154575059073733969e+44 3.157540789915048605e+43 2.246000000000000496e-01
5.729355772599999909e+04 5.734910037656210354e+44 3.735959675348970596e+43 2.246000000000000496e-01
5.729662126400000125e+04 5.578617817741248667e+44 3.634144402338398773e+43 2.246000000000000496e-01
5.729865169700000115e+04 5.327538656186218517e+44 2.892150800637064205e+43 2.246000000000000496e-01
5.729951045799999702e+04 5.182348437371504759e+44 3.375997994476832441e+43 2.246000000000000496e-01
5.730256955300000118e+04 5.578617817741248667e+44 3.634144402338398773e+43 2.246000000000000496e-01
5.730549444899999799e+04 5.734910037656210354e+44 3.735959675348970596e+43 2.246000000000000496e-01
5.730745856500000082e+04 6.060753341560633825e+44 3.290189665520813253e+43 2.246000000000000496e-01
5.730968520800000260e+04 6.116832801765461731e+44 3.984760098799853289e+43 2.246000000000000496e-01
5.731131343899999774e+04 7.088047342076956184e+44 3.847874810166412937e+43 2.246000000000000496e-01
5.731324300200000289e+04 6.288203813129530227e+44 3.413665271408591576e+43 2.246000000000000496e-01
5.731623336500000005e+04 6.060753341560633825e+44 4.606265531729138851e+43 2.246000000000000496e-01
5.731777360100000078e+04 6.894878374004438536e+44 6.737417170255354244e+43 2.246000000000000496e-01
5.731975682799999777e+04 5.182348437371504759e+44 3.938664326889639251e+43 2.246000000000000496e-01
5.732275497899999755e+04 4.994897834472035170e+44 3.796198992568588269e+43 2.246000000000000496e-01
5.732533387699999730e+04 4.770090399852026142e+44 3.625341892965049241e+43 2.246000000000000496e-01
5.732852484399999958e+04 6.116832801765461731e+44 3.984760098799853289e+43 2.246000000000000496e-01
5.733019049400000222e+04 6.060753341560633825e+44 3.948227598624975309e+43 2.246000000000000496e-01
5.733105172199999652e+04 5.841529975622405244e+44 4.439652409999227322e+43 2.246000000000000496e-01
5.733457675000000017e+04 5.895580986995982362e+44 4.480732007969039966e+43 2.246000000000000496e-01
5.734343008099999861e+04 5.578617817741248667e+44 4.239835136061465235e+43 2.246000000000000496e-01
5.734619837399999960e+04 6.005188020932419707e+44 4.564035035495687293e+43 2.246000000000000496e-01
5.734921233300000313e+04 6.288203813129530227e+44 4.779131379972028008e+43 2.246000000000000496e-01
5.735356188600000314e+04 6.116832801765461731e+44 5.313013465066472043e+43 2.246000000000000496e-01
5.735622415100000217e+04 5.376833764441722952e+44 4.086476159516777166e+43 2.246000000000000496e-01
5.735931266599999799e+04 5.734910037656210354e+44 4.358619621240465943e+43 2.246000000000000496e-01
5.736283712999999989e+04 4.858773001531892440e+44 4.220276606772572819e+43 2.246000000000000496e-01
5.736509293400000024e+04 4.903730674584918751e+44 3.726910552248756811e+43 2.246000000000000496e-01
5.736894886299999780e+04 4.640092193624665171e+44 4.030332870427515093e+43 2.246000000000000496e-01
5.737142455799999880e+04 4.726357948199150168e+44 3.592104558707776664e+43 2.246000000000000496e-01
5.737439967900000192e+04 5.230300117070145184e+44 3.975108339200695025e+43 2.246000000000000496e-01
5.737718956900000194e+04 4.858773001531892440e+44 3.692742030926001711e+43 2.246000000000000496e-01
5.738091564199999993e+04 5.134836381312421346e+44 3.902554435291812600e+43 2.246000000000000496e-01
5.738328879199999938e+04 3.895171730309357184e+44 4.229128971347236520e+43 2.246000000000000496e-01
5.738587378400000307e+04 4.858773001531892440e+44 8.440553213545145637e+43 2.246000000000000496e-01
5.739366632499999832e+04 4.193016868792356235e+44 3.186757155126599799e+43 2.246000000000000496e-01
5.739676329599999735e+04 3.967588379484956387e+44 3.015428044429117831e+43 2.246000000000000496e-01
5.739925528699999995e+04 4.078745518367743442e+44 3.099909175500775001e+43 2.246000000000000496e-01
5.742774995199999830e+04 2.770298772596414690e+44 2.406250940323948584e+43 2.246000000000000496e-01
5.742965335900000355e+04 2.412829364231523618e+44 2.619696196649705107e+43 2.246000000000000496e-01
5.743350929999999789e+04 2.621359646716809517e+44 2.561494566719177459e+43 2.246000000000000496e-01
5.743735851499999990e+04 1.988504644085774140e+44 3.454386376661765829e+43 2.246000000000000496e-01
5.744741268899999704e+04 2.390708411655893687e+44 2.076542942043684221e+43 2.246000000000000496e-01
5.744993770300000324e+04 2.220887755020375820e+44 2.652428066562587410e+43 2.246000000000000496e-01
5.745017010199999640e+04 1.830318248077937370e+44 3.378312739885069970e+43 2.246000000000000496e-01
5.745422191000000021e+04 2.304234154175884372e+44 2.251611400886084683e+43 2.246000000000000496e-01
5.745608575199999905e+04 2.325554970298506186e+44 2.272445304667473481e+43 2.246000000000000496e-01
5.746555364399999962e+04 2.082219980754022064e+44 1.808593295500333889e+43 2.246000000000000496e-01
5.747033298300000024e+04 2.241437376406652772e+44 1.946887768210222142e+43 2.246000000000000496e-01
5.747222931000000244e+04 2.025473705571399370e+44 3.738521227671609375e+43 2.246000000000000496e-01
5.747567228400000022e+04 2.220887755020375820e+44 1.929038593863700497e+43 2.246000000000000496e-01
5.747755205900000146e+04 2.006904051020463820e+44 2.396865226435541421e+43 2.246000000000000496e-01
5.748029683099999966e+04 1.731915143457289130e+44 1.692362677338403770e+43 2.246000000000000496e-01
5.748747642400000041e+04 1.623777837725131606e+44 2.644491580353068411e+43 2.246000000000000496e-01
5.748903140600000188e+04 1.608890953026986756e+44 2.445563620092894130e+43 2.246000000000000496e-01
5.749978091899999708e+04 1.494605615356383490e+44 2.109571656955396449e+43 2.246000000000000496e-01
5.750270097299999907e+04 1.550695796373420210e+44 2.188740539295520477e+43 2.246000000000000496e-01
5.750539128699999856e+04 1.594140552108089194e+44 1.903897724186552573e+43 2.246000000000000496e-01
5.750894878700000118e+04 1.731915143457289130e+44 1.880402974820449129e+43 2.246000000000000496e-01
5.751187497099999746e+04 1.414251374836195378e+44 1.689054312317479054e+43 2.246000000000000496e-01
5.751591980399999738e+04 1.565044207916874701e+44 1.699225158582360501e+43 2.246000000000000496e-01
5.751683226799999829e+04 1.508435030844853426e+44 1.965315030616442874e+43 2.246000000000000496e-01
5.752061548800000310e+04 1.608890953026986756e+44 2.445563620092894130e+43 2.246000000000000496e-01
5.752376015400000324e+04 1.350599577739212805e+44 1.759673831619006164e+43 2.246000000000000496e-01
5.752795639900000242e+04 1.594140552108089194e+44 2.596224169345298918e+43 2.246000000000000496e-01
5.752892163599999913e+04 1.102875805946188585e+44 3.233066918042461308e+43 2.246000000000000496e-01
5.753360776500000065e+04 9.173321394116954848e+43 2.091559502649770043e+43 2.246000000000000496e-01
5.755275581399999646e+04 1.401285440296236579e+44 1.521426335730060247e+43 2.246000000000000496e-01
5.755488182899999811e+04 1.254661609718894063e+44 1.226008380952725420e+43 2.246000000000000496e-01
5.755737098700000206e+04 1.289812583424621534e+44 1.120316975341381243e+43 2.246000000000000496e-01
5.756022538899999927e+04 1.338217206382690708e+44 1.162360696639975184e+43 2.246000000000000496e-01
5.756321063400000276e+04 1.401285440296236579e+44 1.825711602876072099e+43 2.246000000000000496e-01
5.756943757899999764e+04 9.966131416243314691e+43 1.514882557998988894e+43 2.246000000000000496e-01
5.757819974399999774e+04 1.062983711223618600e+44 1.154119900343642957e+43 2.246000000000000496e-01
5.758504427700000087e+04 9.966131416243314691e+43 1.298470763999132948e+43 2.246000000000000496e-01
5.759184844000000157e+04 1.082746053894180372e+44 1.293134250399099185e+43 2.246000000000000496e-01
5.760043063399999664e+04 7.286628189547381604e+43 2.215179690080776924e+43 2.246000000000000496e-01
5.760142676899999788e+04 7.153632236639648008e+43 2.097078529008025856e+43 2.246000000000000496e-01
5.760159676900000341e+04 8.600557616444432482e+43 1.120552414233840063e+43 2.246000000000000496e-01
5.760808243400000356e+04 7.630036396307622238e+43 1.822525487000555052e+43 2.246000000000000496e-01
5.760943582500000048e+04 7.088047342077180598e+43 1.616107420269892750e+43 2.246000000000000496e-01
5.761155930899999657e+04 9.517581613827688488e+43 1.446701611582223706e+43 2.246000000000000496e-01
5.761554136200000357e+04 8.366168544330144993e+43 9.991797292056640950e+42 2.246000000000000496e-01
5.762245059800000308e+04 8.289467050079439681e+43 9.000174494420819730e+42 2.246000000000000496e-01
5.762502052600000025e+04 1.102875805946188585e+44 3.233066918042461308e+43 2.246000000000000496e-01
5.762670999599999777e+04 5.787974506895386937e+43 1.571053368588351100e+43 2.246000000000000496e-01
5.763042708500000299e+04 5.327538656190158930e+43 1.446075400318532103e+43 2.246000000000000496e-01
5.763294435900000099e+04 6.706973796593561367e+43 1.674860983324915347e+43 2.246000000000000496e-01
5.764035017800000060e+04 5.682332066396667665e+43 8.637319112722911883e+42 2.246000000000000496e-01
5.764570600099999865e+04 6.894878374005380559e+43 1.422343624831685703e+43 2.246000000000000496e-01
5.765499024300000019e+04 6.958675898112610916e+43 8.310814995734520444e+42 2.246000000000000496e-01
5.766760906399999658e+04 5.787974506895386937e+43 9.426320211530104619e+42 2.246000000000000496e-01
5.767790110100000311e+04 6.116832801769350448e+43 1.261840697953286801e+43 2.246000000000000496e-01
5.768020035400000052e+04 9.517581613827688488e+43 2.996739052563176296e+43 2.246000000000000496e-01
5.768318923399999767e+04 7.354050530068504737e+43 1.117838247696252487e+43 2.246000000000000496e-01
5.768750405199999659e+04 5.895580987000451622e+43 1.280209145134011242e+43 2.246000000000000496e-01
5.768893220899999869e+04 5.376833764445078660e+43 1.401077540405752108e+43 2.246000000000000496e-01
5.770422724000000017e+04 4.858773001533011142e+43 8.968087789391718477e+42 2.246000000000000496e-01
5.771458533899999748e+04 5.950132126229003214e+43 1.356657513233672337e+43 2.246000000000000496e-01
5.771962906800000201e+04 4.683026438078128413e+43 2.084657854180980606e+43 2.246000000000000496e-01
5.772594494999999733e+04 2.549920318864739976e+43 2.796226217534239859e+43 2.246000000000000496e-01
5.772603881499999989e+04 6.346387846643433993e+43 1.515910671998306981e+43 2.246000000000000496e-01
5.773076606799999718e+04 5.376833764445078660e+43 1.401077540405752108e+43 2.246000000000000496e-01
5.774657083299999795e+04 6.230553214049231053e+43 1.014710580024807047e+43 2.246000000000000496e-01
5.775777512199999910e+04 5.787974506895386937e+43 1.005474155896544649e+43 2.246000000000000496e-01
5.779345120899999893e+04 4.814227502901486417e+43 1.359015085439041687e+43 2.246000000000000496e-01
5.779454176000000007e+04 5.476796567462298522e+43 1.367661953459439772e+43 2.246000000000000496e-01
5.779819142000000284e+04 5.278695488204281058e+43 1.203566869141723156e+43 2.246000000000000496e-01
5.788155202499999723e+04 4.154575059073734662e+43 8.570467858340842959e+42 2.246000000000000496e-01
5.832459726799999771e+04 1.970273923927818567e+43 6.417593197497890576e+42 2.246000000000000496e-01
5.915336976999999752e+04 1.764113849966101712e+43 1.130063742971834092e+43 2.246000000000000496e-01
5.915466535399999702e+04 1.005834689486311099e+43 7.862912196313958614e+42 2.246000000000000496e-01
5.916062000699999771e+04 1.082746053894180174e+43 6.700786570249876020e+42 2.246000000000000496e-01
5.719709387099999731e+04 2.070946898683950863e+45 8.994008104130938608e+43 2.600000000000000644e-01
5.719978379799999675e+04 1.959606914749928871e+45 8.510464697753781235e+43 2.600000000000000644e-01
5.720181622400000197e+04 1.837252991778789125e+45 7.979088361897913296e+43 2.600000000000000644e-01
