HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458795.32508,2019-11-07.8256839,bm,1.58,16.412,>16.412,99.990,0.165,0.198,g
2458795.32630,2019-11-07.8268961,bm,1.64,16.406,>16.406,99.990,0.577,0.199,g
2458795.32752,2019-11-07.8281166,bm,1.57,16.502,>16.502,99.990,-0.049,0.182,g
2458795.69821,2019-11-08.1988327,bF,1.57,16.415,>16.415,99.990,0.366,0.197,g
2458795.69949,2019-11-08.2001177,bF,1.60,16.458,>16.458,99.990,-0.593,0.190,g
2458795.70076,2019-11-08.2013870,bF,1.67,16.361,>16.361,99.990,-0.299,0.207,g
2458796.28483,2019-11-08.7854893,bm,1.58,14.400,>14.400,99.990,0.467,1.262,g
2458796.28605,2019-11-08.7867178,bm,1.70,14.224,>14.224,99.990,-0.311,1.484,g
2458796.28727,2019-11-08.7879406,bm,1.80,13.820,>13.820,99.990,0.319,2.152,g
2458796.64800,2019-11-09.1486884,bE,1.48,16.128,>16.128,99.990,-0.185,0.257,g
2458796.70274,2019-11-09.2034364,bF,1.63,15.751,>15.751,99.990,-0.027,0.364,g
2458796.70402,2019-11-09.2047151,bF,1.58,15.760,>15.760,99.990,0.467,0.361,g
2458796.70528,2019-11-09.2059799,bF,2.04,14.843,>14.843,99.990,1.442,0.839,g
2458797.35234,2019-11-09.8530805,bm,1.50,16.237,>16.237,99.990,-0.252,0.232,g
2458797.35357,2019-11-09.8543104,bm,1.59,16.219,>16.219,99.990,0.005,0.236,g
2458797.35484,2019-11-09.8555766,bm,1.56,16.198,>16.198,99.990,0.064,0.241,g
2458797.36507,2019-11-09.8658094,bn,1.50,16.368,>16.368,99.990,0.057,0.206,g
2458797.36628,2019-11-09.8670296,bn,1.59,16.546,>16.546,99.990,0.728,0.175,g
2458797.36750,2019-11-09.8682423,bn,1.55,16.423,>16.423,99.990,-0.189,0.196,g
2458797.66165,2019-11-10.1624113,bE,1.45,16.247,>16.247,99.990,0.426,0.230,g
2458797.66291,2019-11-10.1636748,bE,1.43,16.125,>16.125,99.990,-0.441,0.258,g
2458797.66418,2019-11-10.1649505,bE,1.49,16.093,>16.093,99.990,0.157,0.265,g
2458797.69556,2019-11-10.196325,bF,1.76,16.170,>16.170,99.990,-0.262,0.247,g
2458797.69683,2019-11-10.1975936,bF,1.68,16.058,>16.058,99.990,0.316,0.274,g
2458797.69810,2019-11-10.1988657,bF,1.66,16.106,>16.106,99.990,-0.305,0.262,g
2458798.62751,2019-11-11.1283385,bi,1.45,16.037,>16.037,99.990,0.057,0.279,g
2458798.62874,2019-11-11.1295623,bi,1.42,16.166,>16.166,99.990,-0.171,0.248,g
2458798.62996,2019-11-11.1307827,bi,1.54,16.062,>16.062,99.990,0.303,0.273,g
2458798.63873,2019-11-11.1395601,bj,1.57,16.090,>16.090,99.990,-0.198,0.266,g
2458798.63994,2019-11-11.1407736,bj,1.59,16.200,>16.200,99.990,-0.592,0.241,g
2458798.64115,2019-11-11.1419879,bj,1.59,16.186,>16.186,99.990,-0.167,0.244,g
2458799.69302,2019-11-12.1939216,bF,1.57,15.936,>15.936,99.990,-0.767,0.307,g
2458799.69428,2019-11-12.1951905,bF,1.53,15.967,>15.967,99.990,-0.299,0.298,g
2458799.69556,2019-11-12.1964641,bF,1.60,16.068,>16.068,99.990,-0.062,0.272,g
2458800.64714,2019-11-13.1481016,bi,1.42,15.917,>15.917,99.990,0.038,0.312,g
