# UVOT photometry at full time resolution, using 5.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVW2   57457.644158    19.94     0.10    0.470    0.040    538.634 
UVW2   57465.558805    19.93     0.07    0.478    0.027   1313.189 
UVW2   57470.340407    19.94     0.07    0.470    0.025   1632.539 
UVW2   57472.225808    19.94     0.14    0.473    0.058    242.881 
UVW2   57475.681221    20.08     0.07    0.413    0.024   1491.906 
UVW2   57477.549632    20.00     0.10    0.446    0.038    589.660 
UVW2   57480.301610    20.14     0.07    0.392    0.024   1423.310 
UVW2   57487.480485    20.28     0.14    0.345    0.043    396.654 
UVW2   57489.040972    20.09     0.12    0.410    0.042    474.534 
UVW2   57502.708700    20.15     0.09    0.390    0.031    822.855 
UVW2   57505.396842    20.21     0.09    0.370    0.028    939.523 
UVW2   57508.959855    20.15     0.08    0.389    0.026   1151.522 
UVW2   57511.886128    20.26     0.09    0.353    0.026   1108.694 
UVW2   57515.930429    20.30     0.09    0.342    0.025   1117.164 
UVW2   57516.835620    20.22     0.10    0.364    0.030    833.475 
UVW2   57520.621166    20.41     0.13    0.308    0.034    579.898 
UVW2   57523.765877    20.31     0.09    0.338    0.025   1031.868 
UVW2   57527.961241    20.20     0.12    0.374    0.038    525.267 
UVW2   57528.926354    20.80     0.25    0.217    0.049    244.032 
UVW2   57533.605854    20.89     0.27    0.199    0.047    202.302 
UVW2   57552.752459    20.48     0.12    0.289    0.030    675.489 
UVW2   57554.877651    20.41     0.10    0.308    0.027    840.631 
UVW2   57557.366807    20.61     0.09    0.257    0.020   1253.552 
UVW2   57560.220535    20.39     0.09    0.314    0.023   1087.628 
UVW2   57563.207896    20.43     0.13    0.302    0.036    452.100 
UVW2   57569.435099    20.69     0.15    0.238    0.031    514.875 
UVW2   57578.206167    20.74     0.09    0.229    0.017   1704.957 
UVW2   57585.048519    20.85     0.10    0.208    0.019   1251.457 
UVW2   57591.854370    20.99     0.10    0.183    0.016   1430.824 
UVW2   57600.437115    20.66     0.18    0.246    0.039    303.626 
UVW2   57601.433575    21.01     0.22    0.179    0.034    315.104 
UVW2   57601.603220    21.00     0.10    0.181    0.016   1664.638 
UVW2   57608.087459    20.98     0.21    0.185    0.035    429.350 
UVW2   57609.441491    20.93     0.16    0.192    0.028    529.524 
UVW2   57611.568756    20.98     0.12    0.184    0.020    977.530 
UVW2   57615.550131    20.84     0.10    0.208    0.018   1263.944 
UVW2   57622.525802    21.24     0.19    0.146    0.024    564.446 
UVW2   57626.716183    21.23     0.17    0.148    0.022    643.282 
UVW2   57630.434038    21.26     0.17    0.144    0.021    704.472 
UVW2   57632.914419    20.95     0.20    0.190    0.033    353.273 
UVW2   57640.357270    21.25     0.11    0.145    0.013   2074.507 
UVW2   57645.710722    21.19     0.14    0.153    0.018    922.019 
UVW2   57654.992983    21.31     0.10    0.138    0.012   2199.287 
UVW2   57667.614064    21.36     0.11    0.131    0.013   1924.774 
UVW2   57677.905410    21.01     0.12    0.179    0.019   1088.855 
UVW2   57680.202702    21.37     0.29    0.131    0.033    254.652 
UVW2   57683.196866    21.19     0.11    0.153    0.015   1552.704 
UVW2   57687.508531    21.03     0.13    0.177    0.019   1184.989 
UVW2   57688.937973    21.14     0.14    0.160    0.019    938.134 
UVW2   57704.232439    21.58     0.14    0.109    0.012   1786.638 
UVW2   57714.591025    21.42     0.18    0.125    0.020    811.443 
UVW2   57719.635076    22.25     0.58    0.061    0.029    296.003 
UVW2   57726.046300    21.44     0.19    0.123    0.020    833.106 
UVW2   57730.771125    21.71     0.23    0.097    0.019    875.489 
UVW2   57746.577993    21.48     0.16    0.119    0.016   1741.031 
UVW2   57757.781188    21.32     0.13    0.137    0.015   1680.188 
UVW2   57793.454340    21.58     0.27    0.108    0.025    839.817 
UVW2   57794.547711    21.27     0.19    0.143    0.023    979.539 
UVW2   57798.195541    21.36     0.18    0.131    0.020   1416.089 
UVW2   57881.556641    21.91     0.24    0.082    0.016   1496.379 
UVW2   58324.594074    23.14     0.57    0.030    0.013   1076.389 
UVW2   59154.661307    23.09     0.89    0.032    0.021    441.480 
UVW2   59160.617308    23.53     0.88    0.023    0.014    860.091 
UVM2   57197.100521    16.87     0.04    4.663    0.142    552.925 
UVM2   57199.794841    16.96     0.04    4.289    0.131    586.674 
UVM2   57201.822760    17.10     0.05    3.765    0.122    541.599 
UVM2   57205.642203    17.20     0.04    3.442    0.094   1179.701 
UVM2   57208.667321    17.38     0.04    2.915    0.083   1176.356 
UVM2   57211.662512    17.55     0.04    2.482    0.074   1110.410 
UVM2   57214.677118    17.63     0.05    2.320    0.096    419.121 
UVM2   57214.715750    17.76     0.06    2.063    0.106    275.925 
UVM2   57221.691959    18.14     0.05    1.447    0.061    660.819 
UVM2   57223.519494    18.30     0.05    1.246    0.045   1136.993 
UVM2   57226.522564    18.51     0.05    1.034    0.041   1080.689 
UVM2   57229.270689    18.61     0.05    0.939    0.038   1132.269 
UVM2   57232.899540    18.89     0.06    0.730    0.033   1096.424 
UVM2   57241.131622    19.23     0.05    0.534    0.022   1957.166 
UVM2   57244.890843    19.34     0.07    0.482    0.026   1232.660 
UVM2   57248.477176    19.47     0.06    0.430    0.020   1974.150 
UVM2   57250.710501    19.43     0.10    0.443    0.038    460.038 
UVM2   57253.634075    19.37     0.13    0.470    0.053    230.057 
UVM2   57255.664685    19.64     0.09    0.366    0.030    619.914 
UVM2   57259.408437    19.73     0.09    0.337    0.025    814.462 
UVM2   57262.732162    19.79     0.07    0.320    0.017   1770.361 
UVM2   57268.789284    19.71     0.09    0.345    0.028    642.924 
UVM2   57272.570109    19.50     0.10    0.418    0.037    436.941 
UVM2   57272.881335    19.54     0.09    0.404    0.032    553.793 
UVM2   57277.329490    19.26     0.07    0.520    0.030    862.034 
UVM2   57282.874211    19.18     0.07    0.559    0.034    727.666 
UVM2   57283.405018    18.97     0.07    0.677    0.038    731.575 
UVM2   57284.376164    18.92     0.05    0.707    0.026   1962.378 
UVM2   57284.775362    18.98     0.07    0.670    0.036    774.294 
UVM2   57290.866550    19.00     0.07    0.660    0.035    812.268 
UVM2   57293.557726    18.65     0.06    0.906    0.044    755.454 
UVM2   57296.621264    18.68     0.06    0.881    0.041    863.468 
UVM2   57298.651697    18.73     0.05    0.844    0.029   1977.450 
